kernel,dtype,stride,geo_mean_delta_gflops_%,geo_mean_delta_cpe_%,geo_mean_delta_gibps_%,samples
dot,f32,1,-1.91,1.14,-1.91,10
dot,f32,2,-3.85,3.66,-3.85,10
dot,f32,4,9.80,-9.03,9.80,10
dot,f32,8,-1.29,1.60,-1.29,10
dot,f64,1,4.96,-2.77,4.96,10
dot,f64,2,-1.69,1.72,-1.69,10
dot,f64,4,-0.50,-0.07,-0.50,10
dot,f64,8,-3.30,3.29,-3.30,10
mul,f32,1,-3.33,3.42,-3.33,10
mul,f32,2,-0.68,0.69,-0.68,10
mul,f32,4,0.71,-0.51,0.71,10
mul,f32,8,2.31,-1.70,2.31,10
mul,f64,1,-4.43,4.70,-4.43,10
mul,f64,2,-1.09,1.10,-1.09,10
mul,f64,4,3.56,-3.43,3.56,10
mul,f64,8,-7.72,7.27,-7.72,10
saxpy,f32,1,-5.97,6.46,-5.97,10
saxpy,f32,2,6.77,-7.15,6.77,10
saxpy,f32,4,-2.61,3.35,-2.61,10
saxpy,f32,8,-2.06,1.13,-2.06,10
saxpy,f64,1,-6.29,6.23,-6.29,10
saxpy,f64,2,0.26,-0.30,0.26,10
saxpy,f64,4,2.20,-2.20,2.20,10
saxpy,f64,8,3.34,-2.43,3.34,10
stencil,f32,1,-9.49,10.49,-9.49,9
stencil,f64,1,-10.73,12.68,-10.73,9
