cycles,instructions,task-clock,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses,kernel,dtype,n,stride,L1_miss_rate,LLC_miss_rate
,,151204.0,,,,,dot,f32,33554432,1,,
,,141531.0,,,,,dot,f32,33554432,2,,
,,125021.0,,,,,dot,f32,33554432,4,,
,,157563.0,,,,,dot,f32,33554432,8,,
,,216604.0,,,,,dot,f64,33554432,1,,
,,161464.0,,,,,dot,f64,33554432,2,,
,,228978.0,,,,,dot,f64,33554432,4,,
,,200499.0,,,,,dot,f64,33554432,8,,
,,145435.0,,,,,mul,f32,33554432,1,,
,,146893.0,,,,,mul,f32,33554432,2,,
,,148655.0,,,,,mul,f32,33554432,4,,
,,155781.0,,,,,mul,f32,33554432,8,,
,,265794.0,,,,,mul,f64,33554432,1,,
,,218244.0,,,,,mul,f64,33554432,2,,
,,195239.0,,,,,mul,f64,33554432,4,,
,,222636.0,,,,,mul,f64,33554432,8,,
,,151521.0,,,,,saxpy,f32,33554432,1,,
,,151262.0,,,,,saxpy,f32,33554432,2,,
,,122340.0,,,,,saxpy,f32,33554432,4,,
,,134446.0,,,,,saxpy,f32,33554432,8,,
,,208952.0,,,,,saxpy,f64,33554432,1,,
,,175250.0,,,,,saxpy,f64,33554432,2,,
,,200717.0,,,,,saxpy,f64,33554432,4,,
,,204334.0,,,,,saxpy,f64,33554432,8,,
,,149615.0,,,,,stencil,f32,33554432,1,,
,,149974.0,,,,,stencil,f32,33554432,2,,
,,131481.0,,,,,stencil,f32,33554432,4,,
,,134047.0,,,,,stencil,f32,33554432,8,,
,,256859.0,,,,,stencil,f64,33554432,1,,
,,225126.0,,,,,stencil,f64,33554432,2,,
,,178938.0,,,,,stencil,f64,33554432,4,,
,,177378.0,,,,,stencil,f64,33554432,8,,
