mode,stride_B,threads,lat_ns,bw_gbs
seq,64,4,6.964761,14.026369
seq,64,4,6.050745,14.912524
seq,64,4,6.470523,14.538495
seq,256,4,5.948281,42.194169
seq,256,4,5.967060,41.875566
seq,256,4,6.005196,40.284305
seq,1024,4,5.854682,37.028953
seq,1024,4,5.947320,36.689732
seq,1024,4,5.851192,38.046833
rand,64,4,90.320796,2.162346
rand,64,4,89.819277,2.173386
rand,64,4,90.428072,2.160031
rand,256,4,118.546539,5.509834
rand,256,4,116.894823,5.582694
rand,256,4,120.780534,5.423600
rand,1024,4,123.075638,11.508784
rand,1024,4,126.992782,11.251760
rand,1024,4,137.644810,10.485239
