bytes,rep,ns_per_access
16384,0,3.457191
16384,1,3.437277
16384,2,3.481915
32768,0,3.858596
32768,1,3.757787
32768,2,3.708638
65536,0,3.706553
65536,1,3.822809
65536,2,3.820000
131072,0,5.057872
131072,1,5.205915
131072,2,5.221830
262144,0,6.846766
262144,1,7.184894
262144,2,7.115532
524288,0,7.848000
524288,1,7.213787
524288,2,4.054170
1048576,0,8.984000
1048576,1,12.013957
1048576,2,12.728681
2097152,0,8.852000
2097152,1,8.971106
2097152,2,8.954085
4194304,0,10.796936
4194304,1,9.572851
4194304,2,9.484213
8388608,0,14.750340
8388608,1,17.833447
8388608,2,15.540979
16777216,0,29.150043
16777216,1,27.624809
16777216,2,20.514809
33554432,0,72.339021
33554432,1,56.476000
33554432,2,29.106894
67108864,0,62.408553
67108864,1,45.544723
67108864,2,21.724766
