repeat,strideB,thp,secs,bandwidth_gbs,dtlb_load_misses,llc_load_misses
1,4096,0,10.000135,2778.732488,13751889,1656
2,4096,0,10.000046,2801.748580,13186077,1921
3,4096,0,10.000034,2790.158953,12633206,1906
1,8192,0,10.000032,2790.129261,12208056,1811
2,8192,0,10.000018,2775.287172,13888404,2097
3,8192,0,10.000061,2801.692457,10871057,1466
1,16384,0,10.000010,2796.088952,15282130,523
2,16384,0,10.000033,2791.792615,14582803,2404
3,16384,0,10.000018,2796.537117,15127972,2319
1,32768,0,10.000017,2794.935645,13003809,383
2,32768,0,10.000029,2792.065504,14906820,3318
3,32768,0,10.000009,2794.412304,10526513,903
1,65536,0,10.000006,2785.540390,17220388,438
2,65536,0,10.000005,2785.210995,14038533,429
3,65536,0,10.000005,2768.984351,14297284,2517
1,4096,1,10.000116,2799.135341,15306821,1083
2,4096,1,10.000027,2797.026233,14787623,657
3,4096,1,10.000037,2768.676682,10688878,328
1,8192,1,10.000036,2796.998433,21090257,62
2,8192,1,10.000036,2793.988741,20621522,129
3,8192,1,10.000027,2801.743923,20546288,195
1,16384,1,10.000017,2795.907521,16850448,256
2,16384,1,10.000023,2779.134325,14145105,277
3,16384,1,10.000016,2798.339641,16775180,1550
1,32768,1,10.000006,2789.194442,12623903,63
2,32768,1,10.000008,2792.174817,12190875,180
3,32768,1,10.000025,2793.078937,12797358,514
1,65536,1,10.000007,2783.165810,9168827,77
